ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: site-sidebar-layout,Meta: site-content-layout,Meta: theme-transparent-header-meta,Meta: _yoast_wpseo_content_score,Meta: _wxr_import_user_slug,Meta: _astra_sites_imported_post,Meta: _uag_css_file_name,Meta: _astra_sites_enable_for_batch,Meta: _yoast_wpseo_primary_product_cat,Meta: yikes_woo_products_tabs
,simple,JDWE2302008,Maroubra Beach Stub,1,0,visible,"Elevate your style effortlessly with our Geometric Jewelry collection, featuring a stunning pair of 18K Real Gold Plated Stainless Steel Simple Round Ball Stud Earrings. These minimalist yet chic earrings are the perfect accessory for any occasion, blending elegance with modernity in a timeless design.

Crafted with precision and attention to detail, these gold plated earrings are a must-have for women who appreciate sophistication and simplicity in their jewelry. The 18K real gold plating adds a touch of luxury and elegance to the earrings, ensuring they will remain a staple in your wardrobe for years to come.

The simple round ball stud design makes these earrings versatile and easy to pair with any outfit, whether it's for a casual day out or a special evening event. The size of the earrings is just right, making them comfortable to wear all day long without sacrificing style.

Whether you're looking for the perfect gold plated earrings for yourself or searching for a thoughtful gift for a loved one, these stud earrings are sure to impress. They come in a beautiful gift box, ready to be presented to that special someone.

Upgrade your jewelry collection with our Geometric Jewelry range and shop these gold plated stud earrings today. Make a statement with these elegant and minimalist earrings, perfect for adding a touch of sophistication to any look. View our full collection and find the ideal piece to complement your style.","Elevate your style effortlessly with our Geometric Jewelry collection, featuring a stunning pair of 18K Real Gold Plated Stainless Steel Simple Round Ball Stud Earrings. These minimalist yet chic earrings are the perfect accessory for any occasion, blending elegance with modernity in a timeless design.

Crafted with precision and attention to detail, these gold plated earrings are a must-have for women who appreciate sophistication and simplicity in their jewelry. The 18K real gold plating adds a touch of luxury and elegance to the earrings, ensuring they will remain a staple in your wardrobe for years to come.

The simple round ball stud design makes these earrings versatile and easy to pair with any outfit, whether it's for a casual day out or a special evening event. The size of the earrings is just right, making them comfortable to wear all day long without sacrificing style.

Whether you're looking for the perfect gold plated earrings for yourself or searching for a thoughtful gift for a loved one, these stud earrings are sure to impress. They come in a beautiful gift box, ready to be presented to that special someone.

Upgrade your jewelry collection with our Geometric Jewelry range and shop these gold plated stud earrings today. Make a statement with these elegant and minimalist earrings, perfect for adding a touch of sophistication to any look. View our full collection and find the ideal piece to complement your style.",,,taxable,1,1,5,0,0,0,,,,,1,,,24.00,Gold Plated Earring,,,"https://static.wixstatic.com/media/438f18_604b529b363045ddbbb8593ce7789295~mv2.jpg,https://static.wixstatic.com/media/438f18_4b1ba9c8845e494c8d99514d15e8f97b~mv2.jpg,https://static.wixstatic.com/media/438f18_470ab22a64ad4f9cad9b55fd27f85200~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,JDBW2303023,Clovelly Beach Bracelet,1,0,visible,"Elevate your style with the Clovelly Beach Bracelet, a stunning piece from our Ocean Collection. Crafted from high-quality stainless steel, this bracelet features a sleek Fishbone design that exudes understated sophistication. The minimalist aesthetic of this piece makes it perfect for any occasion, whether you're heading to a casual lunch or a formal event.

The Clovelly Beach Bracelet is not only stylish but also practical. It is hypoallergenic, making it suitable for sensitive skin, and waterproof, ensuring it can withstand everyday wear. Additionally, this bracelet is free from nickel and tarnish, so you can enjoy its beauty for years to come without worrying about it losing its shine.

This timeless piece is versatile and can be easily paired with other accessories to create a personalized look. Whether you wear it on its own for a subtle touch of elegance or stack it with other bracelets for a bolder statement, the Clovelly Beach Bracelet is sure to become a staple in your jewelry collection.

If you're looking for the perfect gift for a loved one or simply want to treat yourself, the Clovelly Beach Bracelet is an excellent choice. Its unique design and high-quality construction make it a standout piece that will be cherished for years to come.

Experience the beauty and sophistication of the Clovelly Beach Bracelet today. Shop now and add this exquisite piece to your collection.","Elevate your style with the Clovelly Beach Bracelet, a stunning piece from our Ocean Collection. Crafted from high-quality stainless steel, this bracelet features a sleek Fishbone design that exudes understated sophistication. The minimalist aesthetic of this piece makes it perfect for any occasion, whether you're heading to a casual lunch or a formal event.

The Clovelly Beach Bracelet is not only stylish but also practical. It is hypoallergenic, making it suitable for sensitive skin, and waterproof, ensuring it can withstand everyday wear. Additionally, this bracelet is free from nickel and tarnish, so you can enjoy its beauty for years to come without worrying about it losing its shine.

This timeless piece is versatile and can be easily paired with other accessories to create a personalized look. Whether you wear it on its own for a subtle touch of elegance or stack it with other bracelets for a bolder statement, the Clovelly Beach Bracelet is sure to become a staple in your jewelry collection.

If you're looking for the perfect gift for a loved one or simply want to treat yourself, the Clovelly Beach Bracelet is an excellent choice. Its unique design and high-quality construction make it a standout piece that will be cherished for years to come.

Experience the beauty and sophistication of the Clovelly Beach Bracelet today. Shop now and add this exquisite piece to your collection.",,,taxable,1,1,5,0,0,0,,,,,1,,,35.00,Gold Plated Bracelet,,,"https://static.wixstatic.com/media/438f18_42737efe085045109262ea3b8aee78da~mv2.jpg,https://static.wixstatic.com/media/438f18_6b0322d9f32f417bbdfbb9c6efdb8343~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,JDEW2307071,Clovelly Beach Shell Earrings,1,0,visible,"Elevate your style with the Clovelly Beach Shell Earring from our Ocean Collection. This stunning piece of jewelry is a stainless steel masterpiece plated in 18K gold, perfect for adding a touch of opulence to any outfit. The delicate shell design embodies the essence of Sydney's pristine beaches, bringing a piece of coastal beauty wherever you go.

Not only is this earring stylish, but it is also functional. The hypoallergenic and nickel-free materials ensure that even those with sensitive skin can wear it comfortably. Plus, its waterproof construction means you can enjoy the beach or pool without worrying about damaging your jewelry.

Whether you're looking for a statement piece to wear to a special event or simply want to add a touch of elegance to your everyday look, the Clovelly Beach Shell Earring is the perfect choice. Its versatile design pairs beautifully with both casual and formal attire, making it a must-have accessory for any jewelry collection.

Add a touch of luxury to your jewelry box with this gold plated earring. Shop now to elevate your style and embrace the beauty of the ocean with the Clovelly Beach Shell Earring.","Elevate your style with the Clovelly Beach Shell Earring from our Ocean Collection. This stunning piece of jewelry is a stainless steel masterpiece plated in 18K gold, perfect for adding a touch of opulence to any outfit. The delicate shell design embodies the essence of Sydney's pristine beaches, bringing a piece of coastal beauty wherever you go.

Not only is this earring stylish, but it is also functional. The hypoallergenic and nickel-free materials ensure that even those with sensitive skin can wear it comfortably. Plus, its waterproof construction means you can enjoy the beach or pool without worrying about damaging your jewelry.

Whether you're looking for a statement piece to wear to a special event or simply want to add a touch of elegance to your everyday look, the Clovelly Beach Shell Earring is the perfect choice. Its versatile design pairs beautifully with both casual and formal attire, making it a must-have accessory for any jewelry collection.

Add a touch of luxury to your jewelry box with this gold plated earring. Shop now to elevate your style and embrace the beauty of the ocean with the Clovelly Beach Shell Earring.",,,taxable,1,1,5,0,0,0,,,,,1,,,35.00,Gold Plated Earring,,,"https://static.wixstatic.com/media/438f18_d53682c6831242c9818e73b6672370af~mv2.jpg,https://static.wixstatic.com/media/438f18_a97cec85d2ce4d7fa47f5ee87b5e4fdb~mv2.jpg,https://static.wixstatic.com/media/438f18_6e0613051207457a9c1812a93c0fe030~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,JDWE2303025-20,Circle Twist Elegance,1,0,visible,"Elevate your style with our Waterproof 18K Gold Plated Stainless Steel Jewelry. The Big Twist Circle Geometric Hoop Earrings for Women are the perfect addition to any outfit, offering a touch of sophistication and contemporary flair. These earrings are not only fashionable but also durable, making them ideal for everyday wear or special occasions.

Crafted with high-quality materials, these gold plated earrings are designed to last, ensuring that you can enjoy them for years to come. The unique twist circle design adds a modern touch to any look, making these earrings a versatile accessory that can be dressed up or down. Whether you're heading to the office or a night out on the town, these earrings are sure to make a statement.

The gold plating on these earrings adds a luxurious touch, giving you the look of real gold without the high price tag. With their timeless design and durable construction, these earrings are the perfect addition to any jewelry collection. Whether you're treating yourself or shopping for a special gift, these earrings are sure to be a hit.

Pair these hoop earrings with a matching gold plated necklace or bracelet for a coordinated look, or mix and match with other pieces from our collection for a unique style all your own. Shop now to view our full range of gold plated jewelry and find the perfect pieces to complement your wardrobe. Embrace sophistication and style with our Waterproof 18K Gold Plated Stainless Steel Jewelry.","Elevate your style with our Waterproof 18K Gold Plated Stainless Steel Jewelry. The Big Twist Circle Geometric Hoop Earrings for Women are the perfect addition to any outfit, offering a touch of sophistication and contemporary flair. These earrings are not only fashionable but also durable, making them ideal for everyday wear or special occasions.

Crafted with high-quality materials, these gold plated earrings are designed to last, ensuring that you can enjoy them for years to come. The unique twist circle design adds a modern touch to any look, making these earrings a versatile accessory that can be dressed up or down. Whether you're heading to the office or a night out on the town, these earrings are sure to make a statement.

The gold plating on these earrings adds a luxurious touch, giving you the look of real gold without the high price tag. With their timeless design and durable construction, these earrings are the perfect addition to any jewelry collection. Whether you're treating yourself or shopping for a special gift, these earrings are sure to be a hit.

Pair these hoop earrings with a matching gold plated necklace or bracelet for a coordinated look, or mix and match with other pieces from our collection for a unique style all your own. Shop now to view our full range of gold plated jewelry and find the perfect pieces to complement your wardrobe. Embrace sophistication and style with our Waterproof 18K Gold Plated Stainless Steel Jewelry.",,,taxable,1,1,4,0,0,0,,,,,1,,,35.00,Gold Plated Earring,,,"https://static.wixstatic.com/media/438f18_fc90193b51d548b5b36b0129c9b02033~mv2.jpg,https://static.wixstatic.com/media/438f18_b922223d4b4e4ae598180206d69f464a~mv2.jpg,https://static.wixstatic.com/media/438f18_f3a3396ffffc43298f2f9c02a754b4b7~mv2.png",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,E453,Elze's Ethereal Baroque Pearls,1,0,visible,"Introducing the stunning Baroque Pearl Delight earrings, a true masterpiece in the world of gold-plated jewelry. Crafted from real gold-plated brass, these earrings feature lustrous freshwater pearls that exude opulence and elegance. The Korean-inspired design adds a touch of modern flair to the classic Baroque pearls, creating a timeless and chic look that is perfect for any occasion.

The Baroque Pearl Delight earrings are the perfect accessory for fashion-forward women who appreciate the fusion of traditional and contemporary styles. Whether you're dressing up for a special event or simply want to elevate your everyday look, these earrings are sure to make a statement.

With their intricate design and high-quality materials, the Baroque Pearl Delight earrings are a must-have addition to any jewelry collection. The gold plating adds a luxurious touch, while the freshwater pearls bring a touch of sophistication to any outfit. These earrings are versatile enough to be paired with both casual and formal attire, making them a versatile and stylish accessory for any woman.

For the perfect gold-plated accessory that combines elegance and style, look no further than the Baroque Pearl Delight earrings. Treat yourself or a loved one to these beautiful earrings, and add a touch of luxury to any outfit. Shop now to view our full range of gold-plated jewelry and find the right piece for you.","Introducing the stunning Baroque Pearl Delight earrings, a true masterpiece in the world of gold-plated jewelry. Crafted from real gold-plated brass, these earrings feature lustrous freshwater pearls that exude opulence and elegance. The Korean-inspired design adds a touch of modern flair to the classic Baroque pearls, creating a timeless and chic look that is perfect for any occasion.

The Baroque Pearl Delight earrings are the perfect accessory for fashion-forward women who appreciate the fusion of traditional and contemporary styles. Whether you're dressing up for a special event or simply want to elevate your everyday look, these earrings are sure to make a statement.

With their intricate design and high-quality materials, the Baroque Pearl Delight earrings are a must-have addition to any jewelry collection. The gold plating adds a luxurious touch, while the freshwater pearls bring a touch of sophistication to any outfit. These earrings are versatile enough to be paired with both casual and formal attire, making them a versatile and stylish accessory for any woman.

For the perfect gold-plated accessory that combines elegance and style, look no further than the Baroque Pearl Delight earrings. Treat yourself or a loved one to these beautiful earrings, and add a touch of luxury to any outfit. Shop now to view our full range of gold-plated jewelry and find the right piece for you.",,,taxable,1,1,4,0,0,0,,,,,1,,,39.00,Gold Plated Earring,,,"https://static.wixstatic.com/media/438f18_0074aacb988c45b0b88732e8f8a0beeb~mv2.jpg,https://static.wixstatic.com/media/438f18_93dc18cc78894db99e6f138f6b93426d~mv2.jpg,https://static.wixstatic.com/media/438f18_83988fe5e5e649adbe26ae9fe0172f43~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,JDWE2301017,Coogee Beach Hoops,1,0,visible,"Indulge in the beauty of the sea with our Coogee Beach Hoops with Starfish Pendant, a stunning piece from our Ocean Collection. These elegant hoop earrings feature a delicate starfish pendant, adding a touch of timeless charm to your look. Crafted from stainless steel and plated in 18K gold, these earrings are not only hypoallergenic but also waterproof and nickel-free, ensuring durability and longevity.

Our gold plated earrings are the perfect addition to any jewelry collection, offering a versatile and sophisticated style that can be dressed up or down. The minimalist design of these hoops with a starfish pendant captures the essence of the ocean, making them a must-have accessory for any ocean lover or beach enthusiast.

Whether you're heading to the beach for a day of relaxation or dressing up for a special occasion, these gold plated earrings will elevate your look with their understated elegance. Pair them with a matching gold plated necklace or bracelet from our collection for a coordinated and chic ensemble.

At our online store, you can shop our full range of gold plated jewelry, including necklaces, bracelets, rings, and more. Our pieces are expertly crafted with attention to detail and quality, ensuring that you receive a beautiful and durable piece of jewelry that will last a lifetime.

Treat yourself or a loved one to the gift of gold plated jewelry, the perfect way to show someone you care. With our easy-to-use size guide, you can ensure you choose the right fit for any occasion. Don't miss out on our sale items and special offers – view our collection today and find the perfect piece to add to your jewelry collection.","Indulge in the beauty of the sea with our Coogee Beach Hoops with Starfish Pendant, a stunning piece from our Ocean Collection. These elegant hoop earrings feature a delicate starfish pendant, adding a touch of timeless charm to your look. Crafted from stainless steel and plated in 18K gold, these earrings are not only hypoallergenic but also waterproof and nickel-free, ensuring durability and longevity.

Our gold plated earrings are the perfect addition to any jewelry collection, offering a versatile and sophisticated style that can be dressed up or down. The minimalist design of these hoops with a starfish pendant captures the essence of the ocean, making them a must-have accessory for any ocean lover or beach enthusiast.

Whether you're heading to the beach for a day of relaxation or dressing up for a special occasion, these gold plated earrings will elevate your look with their understated elegance. Pair them with a matching gold plated necklace or bracelet from our collection for a coordinated and chic ensemble.

At our online store, you can shop our full range of gold plated jewelry, including necklaces, bracelets, rings, and more. Our pieces are expertly crafted with attention to detail and quality, ensuring that you receive a beautiful and durable piece of jewelry that will last a lifetime.

Treat yourself or a loved one to the gift of gold plated jewelry, the perfect way to show someone you care. With our easy-to-use size guide, you can ensure you choose the right fit for any occasion. Don't miss out on our sale items and special offers – view our collection today and find the perfect piece to add to your jewelry collection.",,,taxable,1,1,5,0,0,0,,,,,1,,,39.00,Gold Plated Earring,,,"https://static.wixstatic.com/media/438f18_2ff12cf9a59e4099af8ce9ddd61c3247~mv2.jpg,https://static.wixstatic.com/media/438f18_0f3ecebf6f604377bdf107d386873eb9~mv2.jpg,https://static.wixstatic.com/media/438f18_84cf18c978d9421eadece35d86206fa2~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,JDNW2303019,Clovelly Beach Necklace,1,0,visible,"Are you a fan of sleek elegance and refined simplicity? Look no further than the Clovelly Beach Necklace from our Ocean Collection. This stunning stainless steel masterpiece features a Fishbone design, perfect for those who embrace minimalism in their accessories.

The Clovelly Beach Necklace is not only stylish, but also practical. Made from hypoallergenic stainless steel, it is safe for those with sensitive skin. It is also waterproof, making it a versatile piece that you can wear every day without worry. Plus, it is free from nickel and tarnish, ensuring that it will maintain its shine for years to come.

This necklace is a symbol of understated beauty, perfect for those who appreciate clean lines and modern design. Its Fishbone motif adds a touch of sophistication to any outfit, whether you're dressing up for a special occasion or keeping it casual for everyday wear.

If you're looking for a versatile piece of jewelry that will never go out of style, the Clovelly Beach Necklace is the perfect choice. Its minimalistic design makes it easy to pair with any outfit, and its durability ensures that it will be a long-lasting addition to your collection.

Embrace the beauty of simplicity with the Clovelly Beach Necklace. Shop now to add this timeless piece to your jewelry collection.","Are you a fan of sleek elegance and refined simplicity? Look no further than the Clovelly Beach Necklace from our Ocean Collection. This stunning stainless steel masterpiece features a Fishbone design, perfect for those who embrace minimalism in their accessories.

The Clovelly Beach Necklace is not only stylish, but also practical. Made from hypoallergenic stainless steel, it is safe for those with sensitive skin. It is also waterproof, making it a versatile piece that you can wear every day without worry. Plus, it is free from nickel and tarnish, ensuring that it will maintain its shine for years to come.

This necklace is a symbol of understated beauty, perfect for those who appreciate clean lines and modern design. Its Fishbone motif adds a touch of sophistication to any outfit, whether you're dressing up for a special occasion or keeping it casual for everyday wear.

If you're looking for a versatile piece of jewelry that will never go out of style, the Clovelly Beach Necklace is the perfect choice. Its minimalistic design makes it easy to pair with any outfit, and its durability ensures that it will be a long-lasting addition to your collection.

Embrace the beauty of simplicity with the Clovelly Beach Necklace. Shop now to add this timeless piece to your jewelry collection.",,,taxable,1,1,5,0,0,0,,,,,1,,,39.00,Gold Plated Necklace,,,"https://static.wixstatic.com/media/438f18_0b244f03f56d42f293e2c6ab6fb4f4c6~mv2.jpg,https://static.wixstatic.com/media/438f18_a168ffab976d433d859f908331b20969~mv2.jpg,https://static.wixstatic.com/media/438f18_2ec68fb26f704305adda775d45ad097a~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,JDB201496,Sofia's Pearl Splendor,1,0,visible,"Elevate your wrist with our exquisite Luxury 18K Gold Plated Stainless Steel Jewelry Gift Bead Chain Glass Pearl Bracelet. This stunning piece exudes timeless elegance with a modern twist, making it the perfect accessory for women who appreciate classic style with a touch of sophistication.

Crafted from high-quality stainless steel and plated with luxurious 18K gold, this bracelet is designed to stand out and make a statement. The bead chain design adds a unique and stylish flair, while the glass pearls bring a sense of refinement and grace to the piece.

Whether you're dressing up for a special occasion or simply adding a touch of glamour to your everyday look, this bracelet is sure to turn heads and garner compliments. It's the ideal gift for a loved one or a delightful treat for yourself.

Pair this bracelet with our matching gold plated earrings or necklace for a cohesive and polished ensemble. The versatility of this piece allows you to mix and match with other jewelry in your collection, creating endless styling possibilities.

Available in a range of sizes to ensure the perfect fit, our Luxury 18K Gold Plated Stainless Steel Jewelry Gift Bead Chain Glass Pearl Bracelet is a must-have addition to any jewelry lover's collection. Treat yourself or someone special to this exquisite piece and elevate your style to new heights.

Shop now to view our full range of gold plated jewelry and find the perfect pieces to complement your unique style. Experience the luxury of gold without the hefty price tag with our high-quality plated jewelry. Shop with confidence and add a touch of glamour to your look today.","Elevate your wrist with our exquisite Luxury 18K Gold Plated Stainless Steel Jewelry Gift Bead Chain Glass Pearl Bracelet. This stunning piece exudes timeless elegance with a modern twist, making it the perfect accessory for women who appreciate classic style with a touch of sophistication.

Crafted from high-quality stainless steel and plated with luxurious 18K gold, this bracelet is designed to stand out and make a statement. The bead chain design adds a unique and stylish flair, while the glass pearls bring a sense of refinement and grace to the piece.

Whether you're dressing up for a special occasion or simply adding a touch of glamour to your everyday look, this bracelet is sure to turn heads and garner compliments. It's the ideal gift for a loved one or a delightful treat for yourself.

Pair this bracelet with our matching gold plated earrings or necklace for a cohesive and polished ensemble. The versatility of this piece allows you to mix and match with other jewelry in your collection, creating endless styling possibilities.

Available in a range of sizes to ensure the perfect fit, our Luxury 18K Gold Plated Stainless Steel Jewelry Gift Bead Chain Glass Pearl Bracelet is a must-have addition to any jewelry lover's collection. Treat yourself or someone special to this exquisite piece and elevate your style to new heights.

Shop now to view our full range of gold plated jewelry and find the perfect pieces to complement your unique style. Experience the luxury of gold without the hefty price tag with our high-quality plated jewelry. Shop with confidence and add a touch of glamour to your look today.",,,taxable,1,1,2,0,0,0,,,,,1,,,39.00,Gold Plated Earring,,,"https://static.wixstatic.com/media/438f18_783d5ab9ba2b427a96c033794939e878~mv2.jpg,https://static.wixstatic.com/media/438f18_8f21fb3e2e614640abc8a8f31a542ad5~mv2.jpg,https://static.wixstatic.com/media/438f18_72cf1a1bef574f6e892f83491284b85e~mv2.jpg,https://static.wixstatic.com/media/438f18_5e9d85a5526a4752bacc412db39e7093~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,Bracelet one pearl,Suzy Bracelet,1,0,visible,"Elevate your everyday look with our INS 18k Gold Plated Stainless Steel Figaro Chain Bracelets. The exquisite craftsmanship of these bracelets showcases a perfect blend of classic elegance and modern style. The gold plating adds a touch of luxury, making it a versatile piece that can be worn for any occasion.

The addition of the Freshwater Baroque Pearl Bracelet enhances the overall charm of the bracelet, giving it a timeless appeal. The lustrous pearls complement the gold plating beautifully, creating a sophisticated and classy look. Whether you're dressing up for a special event or simply adding a touch of elegance to your everyday outfit, this bracelet is the perfect accessory.

Our INS 18k Gold Plated Stainless Steel Figaro Chain Bracelets are designed to be durable and long-lasting, ensuring that you can enjoy them for years to come. The high-quality materials used in the construction of these bracelets make them a valuable addition to your jewelry collection.

With its adjustable size, this bracelet is suitable for any wrist size, making it a great gift for yourself or a loved one. The timeless design and versatile style make it a must-have accessory for any jewelry lover.

Shop now and add a touch of sophistication to your look with our INS 18k Gold Plated Stainless Steel Figaro Chain Bracelets. Make a statement with the perfect gold plated jewelry that will elevate your style to the next level.","Elevate your everyday look with our INS 18k Gold Plated Stainless Steel Figaro Chain Bracelets. The exquisite craftsmanship of these bracelets showcases a perfect blend of classic elegance and modern style. The gold plating adds a touch of luxury, making it a versatile piece that can be worn for any occasion.

The addition of the Freshwater Baroque Pearl Bracelet enhances the overall charm of the bracelet, giving it a timeless appeal. The lustrous pearls complement the gold plating beautifully, creating a sophisticated and classy look. Whether you're dressing up for a special event or simply adding a touch of elegance to your everyday outfit, this bracelet is the perfect accessory.

Our INS 18k Gold Plated Stainless Steel Figaro Chain Bracelets are designed to be durable and long-lasting, ensuring that you can enjoy them for years to come. The high-quality materials used in the construction of these bracelets make them a valuable addition to your jewelry collection.

With its adjustable size, this bracelet is suitable for any wrist size, making it a great gift for yourself or a loved one. The timeless design and versatile style make it a must-have accessory for any jewelry lover.

Shop now and add a touch of sophistication to your look with our INS 18k Gold Plated Stainless Steel Figaro Chain Bracelets. Make a statement with the perfect gold plated jewelry that will elevate your style to the next level.",,,taxable,1,1,2,0,0,0,,,,,1,,,39.00,Gold Plated Bracelet,,,"https://static.wixstatic.com/media/438f18_35e67f87fddb45baa0811c88e1a77935~mv2.jpg,https://static.wixstatic.com/media/438f18_0c878f536efc4c8584167bb59593841c~mv2.jpg,https://static.wixstatic.com/media/438f18_5352954ff6fc49f28f8817dc1aaae736~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
,simple,JDWB2302004,Palm Beach Bracelet,1,0,visible,"Elevate your wrist with the stunning Palm Beach Bracelet from our Ocean Collection. This elegant piece is made from high-quality stainless steel and features a beautiful natural stone, creating a simple yet sophisticated look. The bracelet is hypoallergenic, waterproof, and free from nickel and tarnish, making it perfect for everyday wear.

The Palm Beach Bracelet is the perfect addition to any jewelry collection, adding a touch of natural allure to any ensemble. The sleek design and high-quality materials make it a versatile piece that can be dressed up or down for any occasion. Whether you're heading to a formal event or just running errands, this bracelet is sure to make a statement.

In addition to its beauty, the Palm Beach Bracelet is also durable and long-lasting, ensuring that you can enjoy wearing it for years to come. The natural stone adds a unique touch to the piece, making it a standout accessory that will garner compliments wherever you go.

If you're looking to add a touch of luxury to your jewelry collection, the Palm Beach Bracelet is the perfect choice. Its timeless design and high-quality materials make it a must-have accessory for any fashion-forward individual. Treat yourself or a loved one to this stunning bracelet today and elevate your style to new heights.

Don't miss out on the opportunity to own this exquisite piece of jewelry. Shop now to view our full collection and find the perfect gold plated bracelet for yourself or as a gift for someone special.","Elevate your wrist with the stunning Palm Beach Bracelet from our Ocean Collection. This elegant piece is made from high-quality stainless steel and features a beautiful natural stone, creating a simple yet sophisticated look. The bracelet is hypoallergenic, waterproof, and free from nickel and tarnish, making it perfect for everyday wear.

The Palm Beach Bracelet is the perfect addition to any jewelry collection, adding a touch of natural allure to any ensemble. The sleek design and high-quality materials make it a versatile piece that can be dressed up or down for any occasion. Whether you're heading to a formal event or just running errands, this bracelet is sure to make a statement.

In addition to its beauty, the Palm Beach Bracelet is also durable and long-lasting, ensuring that you can enjoy wearing it for years to come. The natural stone adds a unique touch to the piece, making it a standout accessory that will garner compliments wherever you go.

If you're looking to add a touch of luxury to your jewelry collection, the Palm Beach Bracelet is the perfect choice. Its timeless design and high-quality materials make it a must-have accessory for any fashion-forward individual. Treat yourself or a loved one to this stunning bracelet today and elevate your style to new heights.

Don't miss out on the opportunity to own this exquisite piece of jewelry. Shop now to view our full collection and find the perfect gold plated bracelet for yourself or as a gift for someone special.",,,taxable,1,1,6,0,0,0,,,,,1,,,39.00,Gold Plated Bracelet,,,"https://static.wixstatic.com/media/438f18_0e4233d1db2f4cf99044e6cc86c7569c~mv2.jpg,https://static.wixstatic.com/media/438f18_5254ca29672b427ab7111166bccc517d~mv2.jpg,https://static.wixstatic.com/media/438f18_43a8af29879147ee911356c93e2bf1e6~mv2.jpg",,,,,,,,,0,default,default,default,30,ramak,1,,1,,"a:1:{i:0;a:3:{s:5:""title"";s:10:""Custom tab"";s:2:""id"";s:10:""custom-tab"";s:7:""content"";s:10:""<p>tab</p>"";}}"
