Spec/Specs,Price(AUD),Product summary,Product name,product description,Product Image,Product image url,Total Quantity,Current Quantity,stock change,Unit,collection,published,Unit price AUD,Unit price,Total,Ready
JDWE2302008,$24.00,Geometric Jewelry 18K Real Gold Plated Stainless Steel Simple Round Ball Stud Earring for Women,Maroubra Beach Stub,"Elevate your style effortlessly with our Geometric Jewelry collection, featuring a stunning pair of 18K Real Gold Plated Stainless Steel Simple Round Ball Stud Earrings. These minimalist yet chic earrings are the perfect accessory for any occasion, blending elegance with modernity in a timeless design.

Crafted with precision and attention to detail, these gold plated earrings are a must-have for women who appreciate sophistication and simplicity in their jewelry. The 18K real gold plating adds a touch of luxury and elegance to the earrings, ensuring they will remain a staple in your wardrobe for years to come.

The simple round ball stud design makes these earrings versatile and easy to pair with any outfit, whether it's for a casual day out or a special evening event. The size of the earrings is just right, making them comfortable to wear all day long without sacrificing style.

Whether you're looking for the perfect gold plated earrings for yourself or searching for a thoughtful gift for a loved one, these stud earrings are sure to impress. They come in a beautiful gift box, ready to be presented to that special someone.

Upgrade your jewelry collection with our Geometric Jewelry range and shop these gold plated stud earrings today. Make a statement with these elegant and minimalist earrings, perfect for adding a touch of sophistication to any look. View our full collection and find the ideal piece to complement your style.",#REF!,https://sc04.alicdn.com/kf/Hecf9473fbc1847f89bf6048c1989f5c9Y.jpg_100x100.jpg,6,5,-1 Mary,Pieces,ocean,Yes,1.33,USD 0.8900,USD 5.34,Yes
JDB201049,$29.00,Hot Selling 18K Gold Plated Stainless Steel Bracelet Set Miami Cuban Chain Bangle Flat Snake Stacking Bracelet For Women,Miami Cuban Stack,"Make a bold and stylish statement with our Hot Selling 18K Gold Plated Stainless Steel Bracelet Set. This stunning set includes the Miami Cuban Chain Bangle and Flat Snake Stacking Bracelet, perfect for stacking up style on your wrist.

Crafted with precision and attention to detail, these bracelets are ideal for women who want to elevate their jewelry game. The 18K gold plating adds a touch of luxury and sophistication to any outfit, making these bracelets a must-have accessory for any fashion-forward individual.

The Miami Cuban Chain Bangle features a bold and chunky design, while the Flat Snake Stacking Bracelet adds a sleek and modern touch. Whether worn together or separately, these bracelets are sure to make a statement wherever you go.

Pair these bracelets with other gold plated jewelry pieces for a cohesive and glamorous look. From gold plated necklaces to hoop earrings, there are endless possibilities for creating the perfect gold plated jewelry ensemble.

At an affordable price point, our 18K Gold Plated Stainless Steel Bracelet Set is a great addition to any jewelry collection. Whether you're shopping for yourself or looking for the perfect gift for a loved one, these bracelets are sure to impress.

Don't miss out on the opportunity to elevate your style with our Miami Cuban Chain Bangle and Flat Snake Stacking Bracelet set. Shop now to view our full range of gold plated jewelry and find the right pieces to add to your collection.",#REF!,https://sc04.alicdn.com/kf/H716dbd43e5f24629bb58b4635ba4250cc.jpg_100x100.jpg,6,6,,Pieces,,,2.00,USD 1.3400,USD 8.04,
JDBW2303023,$35.00,Minimalist 18K Gold Plated Tassel Spine Choker Necklace Stainless Steel Fishbone Chain Necklace Bracelet Women,Clovelly Beach Bracelet,"Elevate your style with the Clovelly Beach Bracelet, a stunning piece from our Ocean Collection. Crafted from high-quality stainless steel, this bracelet features a sleek Fishbone design that exudes understated sophistication. The minimalist aesthetic of this piece makes it perfect for any occasion, whether you're heading to a casual lunch or a formal event.

The Clovelly Beach Bracelet is not only stylish but also practical. It is hypoallergenic, making it suitable for sensitive skin, and waterproof, ensuring it can withstand everyday wear. Additionally, this bracelet is free from nickel and tarnish, so you can enjoy its beauty for years to come without worrying about it losing its shine.

This timeless piece is versatile and can be easily paired with other accessories to create a personalized look. Whether you wear it on its own for a subtle touch of elegance or stack it with other bracelets for a bolder statement, the Clovelly Beach Bracelet is sure to become a staple in your jewelry collection.

If you're looking for the perfect gift for a loved one or simply want to treat yourself, the Clovelly Beach Bracelet is an excellent choice. Its unique design and high-quality construction make it a standout piece that will be cherished for years to come.

Experience the beauty and sophistication of the Clovelly Beach Bracelet today. Shop now and add this exquisite piece to your collection.",#REF!,https://s.alicdn.com/@sc04/kf/H11f3a8caa81044039ee7e1c1c345fe8f7.jpg_960x960.jpg,6,5,-1 Mary,Pieces,ocean,Yes,1.55,1.04,,Yes
JDEW2307071,$35.00,J&D Jewelry Summer Stainless Steel Ocean Earring Gift Waterproof Texture Sea Shell Drop Earring for Women,Clovelly Beach Shell Earrings,"Elevate your style with the Clovelly Beach Shell Earring from our Ocean Collection. This stunning piece of jewelry is a stainless steel masterpiece plated in 18K gold, perfect for adding a touch of opulence to any outfit. The delicate shell design embodies the essence of Sydney's pristine beaches, bringing a piece of coastal beauty wherever you go.

Not only is this earring stylish, but it is also functional. The hypoallergenic and nickel-free materials ensure that even those with sensitive skin can wear it comfortably. Plus, its waterproof construction means you can enjoy the beach or pool without worrying about damaging your jewelry.

Whether you're looking for a statement piece to wear to a special event or simply want to add a touch of elegance to your everyday look, the Clovelly Beach Shell Earring is the perfect choice. Its versatile design pairs beautifully with both casual and formal attire, making it a must-have accessory for any jewelry collection.

Add a touch of luxury to your jewelry box with this gold plated earring. Shop now to elevate your style and embrace the beauty of the ocean with the Clovelly Beach Shell Earring.",#REF!,https://sc04.alicdn.com/kf/H694937777ab94fe6bc334108de08fc9fZ.jpg_100x100.jpg,6,5,-1 Mary,Pieces,ocean,Yes,3.01,USD 2.0200,USD 12.12,Yes
JDWE2303025-20,$35.00,Waterproof 18K Gold Plated Stainless Steel Jewelry Big Twist Circle Geometric Hoop Earrings for Women,Circle Twist Elegance,"Elevate your style with our Waterproof 18K Gold Plated Stainless Steel Jewelry. The Big Twist Circle Geometric Hoop Earrings for Women are the perfect addition to any outfit, offering a touch of sophistication and contemporary flair. These earrings are not only fashionable but also durable, making them ideal for everyday wear or special occasions.

Crafted with high-quality materials, these gold plated earrings are designed to last, ensuring that you can enjoy them for years to come. The unique twist circle design adds a modern touch to any look, making these earrings a versatile accessory that can be dressed up or down. Whether you're heading to the office or a night out on the town, these earrings are sure to make a statement.

The gold plating on these earrings adds a luxurious touch, giving you the look of real gold without the high price tag. With their timeless design and durable construction, these earrings are the perfect addition to any jewelry collection. Whether you're treating yourself or shopping for a special gift, these earrings are sure to be a hit.

Pair these hoop earrings with a matching gold plated necklace or bracelet for a coordinated look, or mix and match with other pieces from our collection for a unique style all your own. Shop now to view our full range of gold plated jewelry and find the perfect pieces to complement your wardrobe. Embrace sophistication and style with our Waterproof 18K Gold Plated Stainless Steel Jewelry.",#REF!,https://sc04.alicdn.com/kf/Hd86b20273c914eb49b3a65dd3ca6acb8r.jpg_100x100.jpg,6,4,-1 Mary -1 Glebe,Pieces,ocean,Yes,1.77,USD 1.1900,USD 7.14,Yes
JDE2306038,$39.00,Simple 18K Gold Plated Stainless Steel Jewelry Gift 25mm Waterproof Huggie Hoop Earrings for Women,Simple Huggie Gift,"Elevate your style effortlessly with our Simple Huggie Gift - 18k gold-plated stainless steel jewelry. This timeless piece features a 25mm waterproof huggie hoop design, perfect for adding a touch of sophistication to any outfit. 

Crafted from durable stainless steel and plated with 18k gold, these huggie hoop earrings are not only versatile but also long-lasting. The simplicity of the design makes them a must-have in every woman's jewelry collection, perfect for everyday wear or special occasions.

The Simple Huggie Gift is the perfect gold plated earrings for those who appreciate elegant simplicity. The minimalist design ensures that these earrings will never go out of style, making them a great investment piece for your jewelry collection. 

Whether you're shopping for yourself or looking for the perfect gift for a loved one, these huggie hoop earrings are sure to impress. The 18k gold plating adds a touch of luxury to the piece, while the waterproof design ensures that they will last for years to come.

Don't miss out on the opportunity to add these timeless huggie hoop earrings to your collection. Shop now to discover the perfect gold plated jewelry that will elevate your style to the next level.",#REF!,https://sc04.alicdn.com/kf/H238deb3319c5466095e1cc9040393de7P.jpg_100x100.jpg,1,1,,Pieces,,,2.44,USD 1.6400,USD 9.84,
E453,$39.00,New Korean Real Gold Plated Brass Baroque Freshwater Pearl Earrings,Elze's Ethereal Baroque Pearls,"Introducing the stunning Baroque Pearl Delight earrings, a true masterpiece in the world of gold-plated jewelry. Crafted from real gold-plated brass, these earrings feature lustrous freshwater pearls that exude opulence and elegance. The Korean-inspired design adds a touch of modern flair to the classic Baroque pearls, creating a timeless and chic look that is perfect for any occasion.

The Baroque Pearl Delight earrings are the perfect accessory for fashion-forward women who appreciate the fusion of traditional and contemporary styles. Whether you're dressing up for a special event or simply want to elevate your everyday look, these earrings are sure to make a statement.

With their intricate design and high-quality materials, the Baroque Pearl Delight earrings are a must-have addition to any jewelry collection. The gold plating adds a luxurious touch, while the freshwater pearls bring a touch of sophistication to any outfit. These earrings are versatile enough to be paired with both casual and formal attire, making them a versatile and stylish accessory for any woman.

For the perfect gold-plated accessory that combines elegance and style, look no further than the Baroque Pearl Delight earrings. Treat yourself or a loved one to these beautiful earrings, and add a touch of luxury to any outfit. Shop now to view our full range of gold-plated jewelry and find the right piece for you.",#REF!,https://sc04.alicdn.com/kf/Hbe1b0fae0afe48b1bb35116537b4c954v.png_100x100.jpg,5,4,-1 broken,Pieces,pearl,Yes,2.95,USD 1.9800,USD 9.90,
JDWE2302046,$39.00,New Arrival 18K Gold Plated Stainless Steel heart hoop texture Drop Earring,Heart Hoop Texture Drops,"Introducing our stunning New Arrival Heart Hoop Texture Drops - 18k gold-plated stainless steel earrings that are sure to make a bold statement. These earrings feature a unique heart hoop design that adds a touch of romance to any outfit. The textured drop detail gives these earrings a modern edge, making them a versatile and stylish choice for any occasion.

Made from high-quality 18k gold-plated stainless steel, these earrings are not only beautiful but also waterproof, ensuring they will last for years to come. The gold plating gives these earrings a luxurious look without the hefty price tag, making them the perfect accessory for women who love to express their individual style.

The Heart Hoop Texture Drops are the perfect addition to any jewelry collection, whether you're dressing up for a special event or simply want to add a touch of glamour to your everyday look. Their contemporary design and chic style make them a must-have for any fashion-forward woman.

These earrings are also a great gift idea for a loved one who appreciates unique and stylish jewelry. Whether you're shopping for yourself or someone else, the Heart Hoop Texture Drops are sure to be a hit.

Elevate your look with these modern and chic earrings today. Visit our online shop to view our full collection of gold-plated jewelry and find the perfect piece to suit your style.",#REF!,https://sc04.alicdn.com/kf/Hd1cdbb4205194d638274839deaa89dfeE.jpg_100x100.jpg,6,6,,Pieces,,,2.88,USD 1.9300,USD 11.58,
JDE201842-BK,$39.00,18k Gold pvd Plated Stainless Steel Earrings Jewelry Black agate Sun Pendant hoop Earrings women,Black Agate Sun Hoops,"Elevate your style with our stunning Black Agate Sun Hoops. These 18k gold PVD plated stainless steel earrings feature a unique black agate sun pendant that adds a touch of luxury to any ensemble. The waterproof design ensures durability, making these earrings perfect for everyday wear.

The versatile and stylish design of these earrings makes them perfect for women who appreciate the fusion of classic and contemporary elements. The black agate sun pendant adds a sophisticated touch, while the gold plating gives them a timeless elegance.

Whether you're looking for the perfect gold plated earrings to wear to a special event or just want to add a touch of glamour to your everyday look, these Black Agate Sun Hoops are the perfect choice. The hoop design adds a modern twist to the classic gold plated earrings, making them a versatile addition to any jewelry collection.

These earrings are also a great gift idea for the fashion-forward woman in your life. The unique design and high-quality materials make them a truly special gift that will be cherished for years to come. Plus, with their affordable price point, you can treat yourself or a loved one without breaking the bank.

Don't miss out on the opportunity to add these stunning Black Agate Sun Hoops to your jewelry collection. Shop now to view our full range of gold plated jewelry and find the perfect pieces to complement your style.",#REF!,https://sc04.alicdn.com/kf/H09555f545330492ca191e408d11b4e84H.jpg_100x100.jpg,6,5,-1 Glebe,Pieces,,,3.32,USD 2.2300,USD 13.38,
JDE2023014,$39.00,18k Gold Plated Stainless Steel White Natural Shell Heart Shape Lock Design Pendant Earrings,Shell Lock Pendant Elegance,"Elevate your style effortlessly with our exquisite Shell Lock Pendant Elegance earrings. These stunning earrings feature a white natural shell heart shape lock design, plated with 18k gold for a touch of luxury. The timeless design of these earrings makes them a must-have in your jewelry collection.

Crafted from high-quality stainless steel, these earrings are not only elegant but also waterproof, ensuring that they will last for years to come. The delicate shell lock pendant adds a touch of sophistication to any outfit, perfect for women who appreciate classic and elegant accessories.

Whether you're dressing up for a special occasion or simply want to add a touch of glamour to your everyday look, these Shell Lock Pendant Elegance earrings are the perfect choice. The 18k gold plating gives them a beautiful, lustrous finish that will catch the light and draw attention to your face.

Pair these earrings with a matching gold plated necklace or bracelet for a coordinated look, or wear them on their own to let them shine. The versatile design of these earrings makes them perfect for any occasion, from a day at the office to a night out on the town.

Treat yourself to a pair of Shell Lock Pendant Elegance earrings today, or surprise a loved one with a thoughtful gift that they will cherish. Shop now and add a touch of elegance to your jewelry collection with these stunning gold-plated earrings.",#REF!,https://sc04.alicdn.com/kf/Hd566192d50df4c87aa2f28cd92f44ed6e.jpg_100x100.jpg,6,6,,Pieces,,,3.10,USD 2.0800,USD 12.48,
