ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalogue","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: rank_math_internal_links_processed","Meta: site-sidebar-layout","Meta: site-content-layout","Meta: theme-transparent-header-meta","Meta: _yoast_wpseo_content_score","Meta: _wxr_import_user_slug","Meta: _astra_sites_imported_post","Meta: _astra_sites_enable_for_batch","Meta: _yoast_wpseo_primary_product_cat","Meta: yikes_woo_products_tabs","Meta: _uag_css_file_name","Meta: rank_math_seo_score","Meta: cartflows_redirect_flow_id","Meta: cartflows_add_to_cart_text","Meta: _uf_disable_surveys","Meta: rank_math_primary_product_cat","Meta: ast-site-content-layout","Meta: site-content-style","Meta: site-sidebar-style","Meta: astra-migrate-meta-layouts"
6132,simple,JDWE2302008,"Maroubra Beach Stub",1,0,visible,,"Elevate your style with our Geometric Jewelry—a pair of 18K Real Gold Plated Stainless Steel Simple Round Ball Stud Earrings. Minimalist, yet chic, these earrings effortlessly blend elegance with modernity, perfect for any occasion. Crafted with precision, they're a must-have for women seeking timeless sophistication.",,,taxable,,1,5,,0,0,,,,,1,,,30,"Gold Plated Earring",,,http://kaserjewellery.com.au/wp-content/uploads/JDWE2302008-4.jpg,,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",uag-css-6132.css,,,,,,,,,
6133,simple,JDB201049,"Miami Cuban Stack",1,0,visible,,"This robust gold-plated bracelet features a thick chain that exudes strength and style, making it a standout addition to any fashion jewelry collection. The secure clasp ensures a comfortable fit, while the brilliant gold plating adds a rich, luxurious look that is both eye-catching and elegant. Perfect for accessorizing with both casual and formal wear, this bracelet is designed to impress and last. It comes with a 60-day replacement policy, guaranteeing its quality and durability. This piece is ideal for those seeking bold, fashion-forward jewelry that makes a statement while providing lasting value.",,,taxable,,1,5,,0,0,,,,,1,,,35,"Gold Plated Bracelet",,,"http://kaserjewellery.com.au/wp-content/uploads/JDB201049-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDB201049-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDB201049-3.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",uag-css-6133.css,,,,,,,,,
6134,simple,JDBW2303023,"Clovelly Beach Bracelet",1,0,visible,,"These elegant gold-plated earrings feature a minimalist design with a single pearl set in a sleek gold hoop. The timeless elegance of these earrings makes them a versatile addition to any jewelry collection, perfect for both everyday elegance and special occasions. The gold plating ensures a lasting shine that enhances the lustrous pearl, creating a beautiful contrast that is both chic and sophisticated. With their simple yet striking design, these earrings are ideal for those who prefer understated beauty that speaks volumes. Perfect as a thoughtful gift or personal indulgence, they reflect a blend of classic style and modern simplicity.",,,taxable,,1,4,,0,0,,,,,1,,,35,"Gold Plated Bracelet",,,"http://kaserjewellery.com.au/wp-content/uploads/JDBW2303023-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDBW2303023-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDBW2303023-3.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDBW2303023-4.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:250:""Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked."";}}",uag-css-6134.css,10,,,,92,default,default,default,set
6135,simple,JDEW2307071,"Bondi Beach Shell Earrings",1,0,visible,,"Add a touch of seaside charm to your outfit with these exquisite gold shell earrings. These beautifully crafted earrings feature a delicate shell design, perfect for any occasion. The elegant gold finish adds a sophisticated touch, making them a versatile accessory for both casual and formal wear. Enhance your jewellery collection with these timeless, ocean-inspired earrings.",,,taxable,,1,5,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDEW2307071-4.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDEW2307071-4.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:250:""Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked."";}}",uag-css-6135.css,14,,,,90,default,default,default,set
6136,simple,JDWE2303025-20,"Circle Twist Elegance",1,0,visible,,"These gold-plated earrings exhibit timeless elegance with their classic hoop design and a subtle twist texture. Perfect as a perfect gift, these earrings are crafted from a base metal with a lustrous gold plating, ensuring great quality and durability. Ideal for adding a touch of sophistication to any outfit, they fit seamlessly into any gold jewelry collection. Expect efficient shipping options with delivery in 1-2 business days and a 60-day replacement policy.",,,taxable,,1,2,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-10.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-11.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-3.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-4.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-5.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-6.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-7.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-8.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2303025-20-9.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",uag-css-6136.css,,,,,,,,,
6137,simple,JDWE2302046,"Heart Hoop Texture Drops",1,0,visible,,"With a unique gold-plated design, these earrings feature delicate heart-shaped pendants, ideal for adding a touch of timeless elegance to any fashion jewelry collection. They are a perfect gift and come with a 60-day replacement policy, ensuring customer satisfaction with efficient shipping within 1-2 business days.",,,taxable,,1,6,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDWE2302046-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2302046.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",uag-css-6137.css,,,,,,,,,
6138,simple,JDE201842-BK,"Black Agate Sun Hoops",1,0,visible,,"Embrace sophistication with our Black Agate Sun Hoops - 18k gold PVD plated stainless steel earrings featuring a black agate sun pendant. The waterproof design ensures durability, while the unique design adds a touch of luxury to your ensemble. Elevate your style effortlessly with these versatile and stylish earrings, perfect for women who appreciate the fusion of classic and contemporary elements.",,,taxable,,1,5,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDE201842-BK-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDE201842-BK-2.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",uag-css-6138.css,,,,,,,,,
6139,simple,JDE2023014,"Shell Lock Pendant Elegance",1,0,visible,,"These charming gold-plated earrings are beautifully crafted into heart-shaped pendants that hang delicately from simple hoops. The design is enchanting and makes them a perfect gift for someone special, encapsulating a sense of love and affection. The gold plating adds a rich luster, while the heart shape conveys a message of timeless romance. These earrings are a lovely addition to any jewelry collection, offering a blend of classic appeal and modern style. They fit well in a jewelry box as a cherished item and are versatile enough for both casual and formal occasions. Each piece reflects great quality and thoughtful design.",,,taxable,,1,5,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDE2023014-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDE2023014-2.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",,,,,,,,,,
6140,simple,JDWE2301017,"Coogee Beach Hoops",1,0,visible,,"These gold-plated earrings showcase heart-shaped pendants with a chic, hollowed design. They're a beautiful addition to any jewelry collection, offering a blend of modern style and timeless elegance. Perfect as a gift, these earrings come with a 30-day money-back guarantee and quick delivery options.",,,taxable,,1,5,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDWE2301017-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2301017-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDWE2301017-3.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",uag-css-6140.css,,,,,,,,,
6141,simple,JDNW2303019,"Clovelly Beach Necklace",1,0,visible,,"These delightful gold-plated earrings are fashioned with starfish pendants, adding a playful and elegant touch to your jewelry box. They make a perfect gift for sea lovers and come with a lovely jewelry box. High-quality craftsmanship ensures durability, and the product includes efficient shipping options.",,,taxable,,1,4,,0,0,,,,,1,,,39,"Gold Plated Necklace",,,"http://kaserjewellery.com.au/wp-content/uploads/JDNW2303019-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDNW2303019-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDNW2303019-3.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDNW2303019-4.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDNW2303019.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:250:""Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked."";}}",,10,,,,91,default,default,default,set
6142,simple,JDB201496,"Sofia's Pearl Splendor",1,0,visible,,"Elevate your wrist with our Luxury 18K Gold Plated Stainless Steel Jewelry Gift Bead Chain Glass Pearl Bracelet. The perfect accessory for women who appreciate classic elegance with a modern twist. This bracelet adds a touch of sophistication to any ensemble, making it an ideal gift or personal indulgence.",,,taxable,,1,2,,0,0,,,,,1,,,35,"Gold Plated Bracelet",,,http://kaserjewellery.com.au/wp-content/uploads/JDB201496-4.jpg,,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",,,,,,,,,,
6143,simple,JDWB2302004,"Palm Beach Bracelet",1,0,visible,,"Elevate your wrist with the Palm Beach Bracelet, a stainless steel piece featuring a stunning natural stone. This bracelet, part of our Ocean Collection, is a statement of simplicity and sophistication. Hypoallergenic, waterproof, and free from nickel and tarnish, it adds a touch of natural allure to your ensemble.",,,taxable,,1,5,,0,0,,,,,1,,,35,"Gold Plated Bracelet",,,http://kaserjewellery.com.au/wp-content/uploads/JDWB2302004-4.jpg,,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",uag-css-6143.css,,,,,,,,,
6144,simple,JDEW2307050-1,"Naty's Opulent Dream Earrings",1,0,visible,,"Featuring a unique oval loop adorned with a delicate pearl, these gold-plated earrings showcase intricate design and timeless elegance. Perfect for fashion jewelry lovers, these earrings offer both style and quality. They are a wonderful choice for a lovely gift and include efficient shipping within 1-2 business days.",,,taxable,,1,4,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDEW2307050-1-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDEW2307050-1-4.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDEW2307050-1.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",,,,,,,,,,
6145,simple,JDE202257-BE,"Turquoise Evil Eyes Drops",1,0,visible,,"These exquisite gold-plated earrings showcase a radiant sunburst design centered around a turquoise eye, offering a unique and stylish accessory. The intricate rays emanate from the center, creating a dynamic and attractive pattern that captures attention. These statement earrings are perfect for adding a pop of color and artistic flair to any outfit. The high-quality gold plating ensures that they maintain their brilliant shine, making them a durable addition to your jewelry collection. Ideal for those who love to express themselves through their accessories, these earrings can elevate a simple outfit or be the centerpiece at a social event.",,,taxable,,1,3,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDE202257-BE-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDE202257-BE-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDE202257-BE.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",,,,,,,,,,
6146,simple,JDE201867-GN,"CC Shaped Twist Earrings",1,0,visible,,"These stylish gold-plated earrings boast a modern hoop design intertwined with a thick chain and sprinkled with vibrant green gemstones. The combination of gold and green tones offers a luxurious yet contemporary look, making these earrings a striking addition to any gemstone necklace collection. They embody the essence of fashion jewelry with their bold and expressive style, perfect for those seeking to make a statement. The earrings are crafted with great care, ensuring both quality and durability. Suitable for both formal and casual wear, they promise to elevate any ensemble, providing a splash of color and a touch of elegance to your wardrobe.",,,taxable,,1,4,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDE201867-GN-1.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDE201867-GN-2.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",,,,,,,,,,
6147,simple,JDE202024,"Vintage Bead Pendant Earrings",1,0,visible,,"These distinctive gold-plated earrings feature an artful arrangement of red and blue stones layered for a vibrant and eye-catching effect. Perfect for anyone with a bold sense of style, these earrings are a fabulous addition to any fashion jewelry collection. The stones are carefully selected for their color and quality, ensuring that each earring sparkles beautifully under light. These earrings can be a centerpiece in your accessory collection or complement a colorful ensemble. Whether it’s for a special occasion or everyday wear, they offer versatility and style. The gold plating adds a luxurious finish, making them a wonderful gift or a treat for yourself.",,,taxable,,1,6,,0,0,,,,,1,,,30,"Gold Plated Earring",,,"http://kaserjewellery.com.au/wp-content/uploads/JDE202024-2.jpg, http://kaserjewellery.com.au/wp-content/uploads/JDE202024.jpg",,,,,,,,,0,1,default,default,default,30,ramak,1,1,,"a:1:{i:0;a:3:{s:5:""title"";s:19:""Shipping and Return"";s:2:""id"";s:19:""shipping-and-return"";s:7:""content"";s:257:""<p>Enjoy swift delivery via AU Post from Sydney in just 2-7 business days. Take advantage of our flat rate shipping fee of $9.95, or enjoy free shipping on orders over $69. Plus, benefit from our hassle-free 30-day return policy with no questions asked.</p>"";}}",,,,,,,,,,
