Spec/Specs,Price(AUD),Product summary,Product name,product description,Product Image,Product image url,Total Quantity,Current Quantity,stock change,Unit,collection,published,Unit price AUD,Unit price,Total,Ready
JDE201584,49,18k Gold Plated Stainless Steel Party Jewelry Freshwater Pearl Huggie Earrings,Mary's Enchanted Pearls,"Elevate your party look with our Pearl Bliss Huggies, featuring 18k gold-plated stainless steel and freshwater pearl pendants. These waterproof earrings boast a timeless design, blending sophistication and style for women who crave elegance in their accessories. Perfect for any occasion, the huggie style ensures a secure fit, making them a must-have in your jewelry collection. Shine bright and stand out with these exquisite pearl huggie earrings that effortlessly complement your fashion-forward taste.",,https://sc04.alicdn.com/kf/Hebdd248c30d541f69e8bd6a83995485cA.jpg_100x100.jpg,6,6,,Pieces,pearl,Yes,4.44,USD 2.9800,USD 17.88,
JDE201799,59,18k Gold Plated Stainless Steel Tassel Hoop Earrings with Small Pearls,Julia's Radiant Tassel Hoops,"Introducing our Tassel Temptation Hoops - 18k gold-plated stainless steel jewelry with waterproof small pearl tassels. These hoop earrings redefine elegance, combining durability with a touch of luxury. The hypoallergenic and waterproof design ensures comfort and longevity. Make a statement with these versatile and stylish earrings that effortlessly transition from day to night. Enhance your jewelry collection with the sophistication of Tassel Temptation Hoops, a perfect choice for women who appreciate timeless beauty and contemporary design.",,https://sc04.alicdn.com/kf/Hb1754629c5694d75b5d3890f4c7ba5a27.jpg_100x100.jpg,6,6,,Pieces,pearl,Yes,5.96,USD 4.0000,USD 24.00,
JDEW2307050-1,42,Bead Chain Pearl Pendant Tassel Earring 18K PVD Gold Plated Stainless Steel,Naty's Opulent Dream Earrings,"Discover the allure of our Bead Chain Tassel Elegance earrings, crafted from 18k PVD gold-plated stainless steel with hypoallergenic and waterproof features. The pearl pendant and tassel detail add a touch of glamour to these durable and stylish accessories. Elevate your look with the perfect blend of sophistication and comfort, as the earrings showcase impeccable craftsmanship. Embrace the beauty of Bead Chain Tassel Elegance - a jewelry piece that effortlessly combines fashion and functionality for the modern woman.",,https://sc04.alicdn.com/kf/H214d4b22d7254f7b98601471f60d51bfM.jpg_100x100.jpg,6,5,-1 Natalia,Pieces,pearl,Yes,3.99,USD 2.6800,USD 16.08,
JDEW2307071,35,J&D Jewelry Summer Stainless Steel Ocean Earring Gift Waterproof Texture Sea Shell Drop Earring for Women,Clovelly Beach Shell Earrings,"Elevate your style with the Clovelly Beach Shell Earring, a stainless steel masterpiece from our Ocean Collection. Embodying the essence of Sydney's pristine beaches, this earring is adorned with a delicately crafted shell, plated in 18K gold for a touch of opulence. Hypoallergenic, waterproof, and nickel-free, it seamlessly combines fashion and function.",,https://sc04.alicdn.com/kf/H694937777ab94fe6bc334108de08fc9fZ.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,3.01,USD 2.0200,USD 12.12,Yes
JDE202156,49,Twist Series Stainless Steel Earrings Fashion Waterproof 18K Pvd Gold Plated Earrings For Women,Twist Series Fashion,"Elevate your style with the Clovelly Beach Shell Earring, a stainless steel masterpiece from our Ocean Collection. Embodying the essence of Sydney's pristine beaches, this earring is adorned with a delicately crafted shell, plated in 18K gold for a touch of opulence. Hypoallergenic, waterproof, and nickel-free, it seamlessly combines fashion and function.",,https://sc04.alicdn.com/kf/H47dae09406154f8d9a84321fbb0947a5C.jpg_100x100.jpg,6,6,,Pieces,,,5.51,USD 3.7000,USD 22.20,
JDE2306038,39,Simple 18K Gold Plated Stainless Steel Jewelry Gift 25mm Waterproof Huggie Hoop Earrings for Women,Simple Huggie Gift,"Simplify elegance with our Simple Huggie Gift - 18k gold-plated stainless steel jewelry featuring a 25mm waterproof huggie hoop design. This timeless piece makes for a perfect gift, embodying simplicity and sophistication. Elevate your style effortlessly with these durable and versatile huggie hoop earrings, a must-have in every woman's jewelry collection.",,https://sc04.alicdn.com/kf/H238deb3319c5466095e1cc9040393de7P.jpg_100x100.jpg,1,1,,Pieces,,,2.44,USD 1.6400,USD 9.84,
Gold-Blue,56,INS Popular 18K Gold Plated Emerald Huggie Earring 925 Sterling Silver Green Waterdrop Zircon Earring,Emerald Huggie Elegance,"Indulge in the INS Popular Emerald Huggie Earring, featuring 18k gold-plated stainless steel and a green waterdrop zircon. Crafted with precision from 925 sterling silver, these earrings exude luxury and style. Make a statement with this unique and popular design, adding a touch of glamour to any ensemble. Elevate your look with the exquisite Emerald Huggie Elegance earrings, perfect for women who appreciate the fusion of sophistication and trendiness.",,https://sc04.alicdn.com/kf/H741d9f1bdce1476982a37f02af50eda22.jpg_100x100.jpg,3,2,-1 Sergio,Pieces,ocean,,5.22,USD 3.5000,USD 10.50,Yes
E453,39,New Korean Real Gold Plated Brass Baroque Freshwater Pearl Earrings,Elze's Ethereal Baroque Pearls,"Introducing the New Design Baroque Pearl Delight - real gold-plated brass earrings showcasing freshwater pearls for a touch of opulence. These earrings redefine elegance with a Korean-inspired design, creating a timeless and chic look. Perfect for girls who appreciate the fusion of traditional and modern styles, Baroque Pearl Delight is a must-have accessory for any fashion-forward woman.",,https://sc04.alicdn.com/kf/Hbe1b0fae0afe48b1bb35116537b4c954v.png_100x100.jpg,5,5,,Pieces,pearl,Yes,2.95,USD 1.9800,USD 9.90,
JDE2023297,56,High Polished Conch Pendant Sea Series 18K Gold Plated Stainless Steel Hoop Earrings Women Jewelry,Bondi Beach Hoops,"Introducing the Bondi Beach Hoops with Conch Pendant, a sublime creation from our Ocean Collection. These stainless steel earrings exude delicate beauty, perfect for everyday wear or evening elegance. Plated in 18K gold, these hoops are hypoallergenic, waterproof, and nickel-free, ensuring both style and comfort.",,https://sc04.alicdn.com/kf/H9f7fbe40f2714991a9b5b57124030c12N.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,5.13,USD 3.4400,USD 20.64,Yes
JDE202024,45,Vintage Red And Blue Round Bead Pendant Hoop Earrings 18K Gold Stainless Steel For Women's Earrings 2022,Vintage Bead Pendant Earrings,"Transport yourself to the past with our Vintage Bead Pendant Earrings - 18k gold stainless steel hoops featuring red and blue round bead pendants. The vintage design adds a nostalgic touch to your ensemble, making these earrings a standout accessory for 2022. Elevate your style with these unique and stylish earrings, perfect for women who appreciate the timeless beauty of vintage-inspired accessories.",,https://sc04.alicdn.com/kf/H98dd65eb6f9246ff907d2627c4138b66E.jpg_100x100.jpg,6,6,,Pieces,,,4.22,USD 2.8300,USD 16.98,
